Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_713.jpg;0;1;0;2.933867;111.19;95.07574;0.235178;35.153;0.01746282
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_780.jpg;0;1;0;2.97352;111.3405;95.1815;0.5036346;35.14881;-0.0006848463
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_847.jpg;0;1;0;3.027056;111.4928;95.28891;0.7748283;35.15119;-0.001328407
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_914.jpg;0;1;0;3.067498;111.6991;95.4341;1.136787;35.14808;-0.001530424
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_981.jpg;0;1;0;3.107951;111.8561;95.54422;1.389134;35.13844;-0.001730361
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_047.jpg;0;1;0;3.157098;112.0122;95.6534;1.437641;35.08689;-0.003496609
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_110.jpg;0;1;0;3.211417;112.2223;95.79992;1.348699;35.06734;-0.0009661525
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_178.jpg;0;1;0;3.251789;112.3827;95.91158;1.319773;35.04847;-0.0009144206
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_247.jpg;0;0.801491;0;3.301511;112.5454;96.02467;1.31468;35.02802;-0.0009076935
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_314.jpg;0;0.5902724;0;3.32837;112.7643;96.17676;1.309234;35.00018;-0.0008679273
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_381.jpg;0;0.3902504;0;3.34669;112.9291;96.29119;1.285097;34.9792;-0.000824686
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_445.jpg;0;0.1903993;0;3.356326;113.0939;96.40545;1.229446;34.95841;-0.000730358
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_512.jpg;0;0;0;3.353079;113.3123;96.55685;1.090586;34.93156;-0.0005823258
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_579.jpg;0;0;0;3.343074;113.4749;96.6695;0.9390504;34.91264;-0.0003441704
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_645.jpg;0;0;0;3.328857;113.6365;96.78146;0.758463;34.89502;1.056637E-05
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_712.jpg;0;0;0;3.318202;113.8508;96.92992;0.4902059;34.87607;0.005352716
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_778.jpg;0;0;0;3.307462;114.0106;97.04084;0.2799243;34.86684;0.01740467
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_847.jpg;0;0;0;3.292956;114.1699;97.1515;0.07050811;34.86201;0.03639604
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_913.jpg;0;0;0;3.281987;114.3822;97.29865;359.836;34.84754;0.03419579
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_44_980.jpg;0;0;0;3.270344;114.5411;97.40892;359.6906;34.83632;0.01398552
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_046.jpg;0;0;0;3.25491;114.6999;97.51908;359.5717;34.82695;359.986
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_110.jpg;0;0;0;3.243279;114.9108;97.66624;359.4484;34.83482;359.9929
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_179.jpg;0;0;0;3.232178;115.0686;97.77648;359.3802;34.84474;0.01452527
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_246.jpg;0;0;0;3.216703;115.2261;97.88625;359.3238;34.84917;0.0339408
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_314.jpg;0;0;0;3.204832;115.4363;98.03199;359.2949;34.83751;0.01520798
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_380.jpg;-4.003506;0;0;3.19366;115.5943;98.13932;359.2732;34.5522;359.9581
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_448.jpg;-8.012148;0;0;3.176225;115.8075;98.27742;359.2838;33.48332;359.7929
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_513.jpg;-12.01391;0;0;3.16093;115.9705;98.37497;359.3231;32.08323;359.5645
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_576.jpg;-8.182304;0;0;3.144357;116.1351;98.4699;359.4293;30.702;359.3524
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_646.jpg;-8.242149;0;0;3.126544;116.3014;98.56351;359.6234;29.64581;359.2138
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_714.jpg;-12.34986;0;0;3.109397;116.5272;98.67902;359.9496;27.71149;358.9521
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_780.jpg;-15;0;0;3.090113;116.6973;98.75774;0.1158093;25.72951;358.7631
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_846.jpg;-11.03712;0;0;3.076453;116.8637;98.83329;0.04911963;23.79981;358.8372
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_913.jpg;-6.910408;0;0;3.063317;117.0867;98.92409;359.8508;22.00966;358.9829
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_45_980.jpg;-10.80141;0;0;3.051754;117.257;98.98605;359.788;20.75128;359.0195
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_46_046.jpg;-6.787972;0;0;3.033329;117.4293;99.04494;359.812;19.53451;359.0702
